ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
755732,gn:T01455,"fte, 755732; Fluviicola taffensis DSM 16823",fte,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__Fluviicola taffensis
756272,gn:T01431,"pbs, 756272; Rubinisphaera brasiliensis DSM 5305 (Planctomyces brasiliensis DSM 5305)",pbs,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Rubinisphaera;s__Rubinisphaera brasiliensis
756499,gn:T02146,"ddh, 756499; Desulfitobacterium dehalogenans ATCC 51507",ddh,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfitobacterium;s__Desulfitobacterium dehalogenans
756828,gn:T03530,"bacw, 756828; Bacillus sp. WP8",bacw,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
756883,gn:T01603,"hah, 756883; Halophilic archaeon DL31",hah,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__;g__;s__
756892,gn:T05342,"aid, 756892; Acinetobacter indicus SGAir0564",aid,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter indicus
757424,gn:T01268,"hse, 757424; Herbaspirillum seropedicae SmR1",hse,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Herbaspirillum;s__Herbaspirillum seropedicae
757425,gn:T01372,"cjn, 757425; Campylobacter jejuni subsp. jejuni ICDCCJ07001",cjn,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni
758678,gn:T01865,"cbm, 758678; Clostridium botulinum F 230613",cbm,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium botulinum
758793,gn:T02684,"buo, 758793; Caballeronia insecticola RPE64 (Burkholderia sp. RPE64)",buo,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia insecticola
758796,gn:T03604,"bue, 758796; Burkholderia sp. RPE67",bue,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__
758802,gn:T05032,"mll, 758802; Mycolicibacterium litorale F4",mll,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycolicibacterium;s__Mycolicibacterium litorale
758803,gn:T06721,"nfe, 758803; Nocardiopsis flavescens NA01583",nfe,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis flavescens
758847,gn:T03999,"lst, 758847; Leptospira santarosai serovar Shermani LT 821",lst,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai
759350,gn:T01240,"bll, 759350; Bifidobacterium longum subsp. longum JDM301",bll,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
759362,gn:T01909,"kvl, 759362; Ketogulonicigenium vulgare WSH-001",kvl,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ketogulonicigenium;s__Ketogulonicigenium vulgare
759363,gn:T01900,"ctd, CHLTD, 759363; Chlamydia trachomatis D-EC",ctd,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
759364,gn:T01901,"ctf, CHLTL, 759364; Chlamydia trachomatis D-LC",ctf,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia trachomatis
759620,gn:T03228,"wce, 759620; Weissella ceti WS08",wce,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella ceti
759620,gn:T03280,"wct, 759620; Weissella ceti WS74",wct,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella ceti
759620,gn:T03295,"wci, 759620; Weissella ceti WS105",wci,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Weissella ceti
759811,gn:T06280,"lpak, 759811; Lysinibacillus pakistanensis LZH-9",lpak,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus;s__Lysinibacillus pakistanensis
759913,gn:T02333,"sdc, 759913; Streptococcus dysgalactiae subsp. equisimilis AC-2713",sdc,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus dysgalactiae
759914,gn:T01278,"bpo, 759914; Brachyspira pilosicoli 95/1000",bpo,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Brachyspirales;f__Brachyspiraceae;g__Brachyspira;s__Brachyspira pilosicoli
760011,gn:T01469,"scc, 760011; Sphaerochaeta coccoides DSM 17374 (Spirochaeta coccoides DSM 17374)",scc,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Sphaerochaeta;s__Sphaerochaeta coccoides
760142,gn:T01456,"hmr, 760142; Hippea maritima DSM 10411",hmr,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfurellales;f__Desulfurellaceae;g__Hippea;s__Hippea maritima
760154,gn:T02139,"sba, 760154; Sulfurospirillum barnesii SES-3",sba,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Sulfurospirillum;s__Sulfurospirillum barnesii
760192,gn:T01491,"hhy, 760192; Haliscomenobacter hydrossis DSM 1100",hhy,d__Bacteria;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Haliscomenobacter;s__Haliscomenobacter hydrossis
760568,gn:T01499,"dku, 760568; Desulfofundulus kuznetsovii DSM 6115",dku,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfofundulus;s__Desulfofundulus kuznetsovii
760570,gn:T01545,"scp, 760570; Streptococcus parasanguinis ATCC 15912",scp,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis
761193,gn:T01553,"rsi, 761193; Runella slithyformis DSM 19594",rsi,d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Runella;s__Runella slithyformis
761659,gn:T01209,"srm, 761659; Salinibacter ruber M8",srm,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Salinibacter;s__Salinibacter ruber
762051,gn:T01233,"lki, 762051; Leuconostoc kimchii IMSNU 11154",lki,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc kimchii
762376,gn:T01341,"axy, 762376; Achromobacter xylosoxidans A8",axy,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
762550,gn:T01267,"lgs, 762550; Leuconostoc gelidum subsp. gasicomitatum LMG 18811",lgs,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc gelidum
762570,gn:T01606,"rmg, 762570; Rhodothermus marinus SG0.5JP17-172",rmg,d__Bacteria;p__Bacteroidetes;c__;o__Bacteroidetes Order II. Incertae sedis;f__Rhodothermaceae;g__Rhodothermus;s__Rhodothermus marinus
762633,gn:T01867,"tts, 762633; Thermus thermophilus SG0.5JP17-16",tts,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus;s__Thermus thermophilus
762903,gn:T01430,"psn, 762903; Pseudopedobacter saltans DSM 12145 (Pedobacter saltans DSM 12145)",psn,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pseudopedobacter;s__Pseudopedobacter saltans
762948,gn:T01343,"rdn, 762948; Rothia dentocariosa ATCC 17931",rdn,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia dentocariosa
763057,gn:T06432,"mhua, 763057; Mesorhizobium huakuii 7653R",mhua,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium huakuii
765177,gn:T01406,"dmu, 765177; Desulfurococcus mucosus DSM 2162",dmu,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus mucosus
765698,gn:T01401,"mci, 765698; Mesorhizobium ciceri biovar biserrulae WSM1271, endosymbiont of Biserrula pelecinus",mci,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium;s__Mesorhizobium ciceri
765869,gn:T03036,"bbw, 765869; Bdellovibrio bacteriovorus W",bbw,d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus
765874,gn:T01277,"cpu, 765874; Corynebacterium pseudotuberculosis FRC41",cpu,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium pseudotuberculosis
765910,gn:T03650,"mpur, 765910; Marichromatium purpuratum 984",mpur,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Marichromatium;s__Marichromatium purpuratum
765911,gn:T02138,"tvi, 765911; Thiocystis violascens DSM 198",tvi,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiocystis;s__Thiocystis violascens
765912,gn:T02397,"tmb, 765912; Thioflavicoccus mobilis 8321",tmb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thioflavicoccus;s__Thioflavicoccus mobilis
765952,gn:T01552,"puv, 765952; Parachlamydia acanthamoebae UV-7",puv,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales;f__Parachlamydiaceae;g__Parachlamydia;s__Parachlamydia acanthamoebae
765962,gn:T01323,"hpm, 765962; Helicobacter pylori SJM180",hpm,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
765963,gn:T01322,"hpc, 765963; Helicobacter pylori PeCan4",hpc,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
765964,gn:T01894,"hpu, 765964; Helicobacter pylori Cuz20",hpu,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
766760,gn:T02694,"blh, 766760; Bacillus paralicheniformis ATCC 9945a (Bacillus licheniformis 9945A)",blh,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus paralicheniformis
767029,gn:T02180,"ppc, 767029; Pseudopropionibacterium propionicum F0230a (Propionibacterium propionicum F0230a)",ppc,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Pseudopropionibacterium;s__Pseudopropionibacterium propionicum
767031,gn:T01459,"pdn, 767031; Prevotella denticola F0289",pdn,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella denticola
767434,gn:T01773,"fau, 767434; Frateuria aurantia DSM 6220",fau,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Frateuria;s__Frateuria aurantia
767453,gn:T02669,"lff, 767453; Lactobacillus fermentum F-6",lff,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum
767455,gn:T01360,"lde, 767455; Lactobacillus delbrueckii subsp. bulgaricus ND02",lde,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii
767456,gn:T03040,"lhh, 767456; Lactobacillus helveticus H9",lhh,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus
767462,gn:T01959,"lhl, 767462; Lactobacillus helveticus H10",lhl,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus
767463,gn:T01978,"stn, 767463; Streptococcus thermophilus ND03",stn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus
767465,gn:T02143,"mbi, 767465; Mycoplasma bovis HB0801",mbi,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma bovis
767468,gn:T02670,"lpr, 767468; Lactobacillus plantarum subsp. plantarum P-8",lpr,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum
767817,gn:T02657,"dgi, 767817; Desulfallas gibsoniae DSM 7213",dgi,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfallas;s__Desulfallas gibsoniae
768065,gn:T01942,"hwc, 768065; Haloquadratum walsbyi C23",hwc,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Haloferacales;f__Haloferacaceae;g__Haloquadratum;s__Haloquadratum walsbyi
768066,gn:T01311,"hel, 768066; Halomonas elongata DSM 2581",hel,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas;s__Halomonas elongata
768486,gn:T02160,"ehr, 768486; Enterococcus hirae ATCC 9790",ehr,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus hirae
768490,gn:T01502,"srs, 768490; Serratia sp. AS12",srs,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__
768492,gn:T01503,"srr, 768492; Serratia plymuthica AS9",srr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__Serratia plymuthica
768493,gn:T02012,"sra, 768493; Serratia sp. AS13",sra,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;g__Serratia;s__
768494,gn:T02028,"bax, 768494; Bacillus anthracis H9401",bax,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus anthracis
768670,gn:T01364,"cni, 768670; Calditerrivibrio nitroreducens DSM 19672",cni,d__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Calditerrivibrio;s__Calditerrivibrio nitroreducens
768672,gn:T02136,"dfd, 768672; Desulfurococcus amylolyticus DSM 16532 (Desulfurococcus fermentans DSM 16532)",dfd,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Desulfurococcus;s__Desulfurococcus amylolyticus
768679,gn:T01641,"ttn, 768679; Thermoproteus tenax Kra 1",ttn,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Thermoproteus;s__Thermoproteus tenax
768700,gn:T01438,"mss, 768700; Mycoplasma suis Illinois",mss,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma suis
768704,gn:T02207,"dmi, 768704; Desulfosporosinus meridiei DSM 13257",dmi,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus;s__Desulfosporosinus meridiei
768706,gn:T01675,"dor, 768706; Desulfosporosinus orientis DSM 765",dor,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Desulfosporosinus;s__Desulfosporosinus orientis
771875,gn:T01808,"fpe, 771875; Fervidobacterium pennivorans DSM 9078",fpe,d__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium;s__Fervidobacterium pennivorans
788929,gn:T01979,"xff, 788929; Xylella fastidiosa subsp. fastidiosa GB514",xff,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xylella;s__Xylella fastidiosa
794846,gn:T05069,"sino, 794846; Sinorhizobium sp. CCBAU 05631",sino,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__
794851,gn:T01897,"hpt, 794851; Helicobacter pylori Sat464",hpt,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
794903,gn:T03683,"obt, 794903; Opitutaceae bacterium TAV5",obt,d__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__;s__
795359,gn:T01547,"top, 795359; Thermodesulfobacterium geofontis OPF15",top,d__Bacteria;p__Thermodesulfobacteria;c__Thermodesulfobacteria;o__Thermodesulfobacteriales;f__Thermodesulfobacteriaceae;g__Thermodesulfobacterium;s__Thermodesulfobacterium geofontis
795665,gn:T04491,"hyb, 795665; Hydrogenophaga sp. PBC",hyb,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__
795797,gn:T01271,"hje, 795797; Halalkalicoccus jeotgali B3",hje,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halalkalicoccus;s__Halalkalicoccus jeotgali
796606,gn:T03209,"bmet, 796606; Bacillus methanolicus MGA3",bmet,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus methanolicus
797210,gn:T01532,"hxa, 797210; Halopiger xanaduensis SH-6",hxa,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halopiger;s__Halopiger xanaduensis
797299,gn:T03008,"hlr, 797299; Halostagnicola larsenii XH-48",hlr,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halostagnicola;s__Halostagnicola larsenii
797302,gn:T02402,"hru, 797302; Halovivax ruber XH-70",hru,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Halovivax;s__Halovivax ruber
797303,gn:T02425,"npe, 797303; Natrinema pellirubrum DSM 15624",npe,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natrinema;s__Natrinema pellirubrum
797304,gn:T02383,"nge, 797304; Natronobacterium gregoryi SP2",nge,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Natrialbales;f__Natrialbaceae;g__Natronobacterium;s__Natronobacterium gregoryi
798128,gn:T02009,"ttl, 798128; Thermus thermophilus JL-18",ttl,d__Bacteria;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus;s__Thermus thermophilus
798300,gn:T01794,"stg, 798300; Streptococcus pyogenes MGAS15252 (serotype M59)",stg,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
838561,gn:T03003,"smir, 838561; Spiroplasma mirum ATCC 29335",smir,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma mirum
838561,gn:T03382,"smia, 838561; Spiroplasma mirum ATCC 29335 SMCA",smia,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__Spiroplasma mirum
856793,gn:T01630,"mai, 856793; Micavibrio aeruginosavorus ARL-13",mai,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__Micavibrio;s__Micavibrio aeruginosavorus
857087,gn:T01511,"mmt, 857087; Methylomonas methanica MC09",mmt,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylomonas;s__Methylomonas methanica
857417,gn:T04569,"jte, 857417; Janibacter indicus YFY001",jte,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Janibacter;s__Janibacter indicus
858215,gn:T01505,"txy, 858215; Thermoanaerobacterium xylanolyticum LX-11",txy,d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__;g__Thermoanaerobacterium;s__Thermoanaerobacterium xylanolyticum
858423,gn:T06898,"barh, 858423; Bradyrhizobium arachidis CCBAU 051107",barh,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__Bradyrhizobium arachidis
858619,gn:T01594,"cva, 858619; Corynebacterium variabile DSM 44702",cva,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium variabile
859143,gn:T05194,"bko, 859143; Cytobacillus kochii BDGP4 (Bacillus kochii BDGP4)",bko,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Cytobacillus;s__Cytobacillus kochii
859194,gn:T01944,"mhf, 859194; Mycoplasma haemofelis Ohio2",mhf,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma haemofelis
859653,gn:T02250,"apm, 859653; Alpha proteobacterium HIMB5",apm,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__;s__
859654,gn:T01398,"bva, 859654; Candidatus Blochmannia vafer BVAF, endosymbiont of Camponotus vafer",bva,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Candidatus Blochmannia;s__Candidatus Blochmannia vafer
859655,gn:T02725,"rsm, 859655; Ralstonia solanacearum CMR15",rsm,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum
859656,gn:T01272,"rsc, 859656; Ralstonia solanacearum CFBP2957",rsc,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum
859657,gn:T01273,"rsl, 859657; Ralstonia solanacearum PSI07",rsl,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia solanacearum
860228,gn:T01582,"ccm, 860228; Capnocytophaga canimorsus Cc5",ccm,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga canimorsus
860235,gn:T04088,"kphy, 860235; Kibdelosporangium phytohabitans KLBMP1111",kphy,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Kibdelosporangium;s__Kibdelosporangium phytohabitans
861109,gn:T04604,"sinb, 861109; Sphingobium indicum B90A",sinb,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium indicum
861299,gn:T03025,"gba, 861299; Gemmatirosa kalamazoonesis KBS708",gba,d__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa kalamazoonesis
861360,gn:T01320,"aai, 861360; Glutamicibacter arilaitensis Re117 (Arthrobacter arilaitensis Re117)",aai,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Glutamicibacter;s__Glutamicibacter arilaitensis
861365,gn:T02793,"kpr, 861365; Klebsiella pneumoniae subsp. rhinoscleromatis SB3432",kpr,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
862126,gn:T06204,"mgk, 862126; Mucilaginibacter ginsenosidivorax KHI28",mgk,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter ginsenosidivorax
862259,gn:T01478,"mml, 862259; Mycoplasma mycoides subsp. capri LC 95010",mml,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Mycoplasma mycoides
862719,gn:T01658,"ali, 862719; Azospirillum lipoferum 4B",ali,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum;s__Azospirillum lipoferum
862751,gn:T01601,"ssx, 862751; Streptomyces sp. SirexAA-E",ssx,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__
862908,gn:T01659,"bmx, BACMS, 862908; Halobacteriovorax marinus SJ (Bacteriovorax marinus)",bmx,d__Bacteria;p__Proteobacteria;c__Oligoflexia;o__Bacteriovoracales;f__Halobacteriovoraceae;g__Halobacteriovorax;s__Halobacteriovorax marinus
862962,gn:T01691,"bfg, 862962; Bacteroides fragilis 638R",bfg,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis
862964,gn:T01720,"hiu, 862964; Haemophilus influenzae 10810 (serotype b)",hiu,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae
